,Rank,Movie,year,genre,Runtime,Certificate,Rating
187,188.,Hacksaw Ridge,2016,"Biography, Drama, History",139 min,A,8.1
188,189.,12 Years a Slave,2013,"Biography, Drama, History",134 min,A,8.1
189,190.,Rush,I 2013,"Action, Biography, Drama",123 min,R,8.1
190,191.,Ford v Ferrari,2019,"Action, Biography, Drama",152 min,UA,8.1
191,192.,Spotlight,I 2015,"Biography, Crime, Drama",129 min,A,8.1
192,193.,The Help,2011,Drama,146 min,UA,8.1
193,194.,Prisoners,2013,"Crime, Drama, Mystery",153 min,A,8.1
194,195.,Mad Max: Fury Road,2015,"Action, Adventure, Sci-Fi",120 min,UA,8.1
195,196.,Gran Torino,2008,Drama,116 min,UA,8.1
196,197.,Harry Potter and the Deathly Hallows: Part 2,2011,"Adventure, Fantasy, Mystery",130 min,UA,8.1
197,198.,Hachi: A Dog's Tale,2009,"Biography, Drama, Family",93 min,U,8.1
198,199.,Mary and Max.,2009,"Animation, Comedy, Drama",92 min,,8.1
199,200.,How to Train Your Dragon,2010,"Animation, Action, Adventure",98 min,U,8.1
200,201.,Into the Wild,2007,"Adventure, Biography, Drama",148 min,U,8.1
201,202.,Million Dollar Baby,2004,"Drama, Sport",132 min,UA,8.1
202,203.,Hotel Rwanda,2004,"Biography, Drama, History",121 min,UA,8.1
203,204.,Ratatouille,2007,"Animation, Adventure, Comedy",111 min,U,8.1
204,205.,Before Sunset,2004,"Drama, Romance",80 min,A,8.1
205,206.,Salinui chueok,2003,"Crime, Drama, Mystery",131 min,UA,8.1
206,207.,Pirates of the Caribbean: The Curse of the Black Pearl,2003,"Action, Adventure, Fantasy",143 min,UA,8.1
207,208.,Catch Me If You Can,2002,"Biography, Crime, Drama",141 min,A,8.1
208,209.,Amores perros,2000,"Drama, Thriller",154 min,A,8.1
209,210.,"Monsters, Inc.",2001,"Animation, Adventure, Comedy",92 min,U,8.1
210,211.,The Big Lebowski,1998,"Comedy, Crime",117 min,UA,8.1
211,212.,Trainspotting,1996,Drama,93 min,A,8.1
212,213.,Fargo,1996,"Crime, Thriller",98 min,A,8.1
213,214.,La haine,1995,"Crime, Drama",98 min,Not Rated,8.1
214,215.,Before Sunrise,1995,"Drama, Romance",101 min,16,8.1
215,216.,In the Name of the Father,1993,"Biography, Crime, Drama",133 min,UA,8.1
216,217.,Groundhog Day,1993,"Comedy, Drama, Fantasy",101 min,U,8.1
217,218.,Dead Poets Society,1989,"Comedy, Drama",128 min,U,8.1
218,219.,Tonari no Totoro,1988,"Animation, Comedy, Family",86 min,U,8.1
219,220.,Stand by Me,1986,"Adventure, Drama",89 min,U,8.1
220,221.,Platoon,1986,"Drama, War",120 min,UA,8.1
221,222.,The Terminator,1984,"Action, Sci-Fi",107 min,UA,8.1
222,223.,Gandhi,1982,"Biography, Drama",191 min,U,8.1
223,224.,Blade Runner,1982,"Action, Drama, Sci-Fi",117 min,UA,8.1
224,225.,The Deer Hunter,1978,"Drama, War",183 min,A,8.1
225,226.,Rocky,1976,"Drama, Sport",120 min,U,8.1
226,227.,Network,1976,Drama,121 min,UA,8.1
227,228.,Jaws,1975,"Adventure, Thriller",124 min,A,8.1
228,229.,Barry Lyndon,1975,"Adventure, Drama, War",185 min,U,8.1
229,230.,The Exorcist,1973,Horror,122 min,A,8.1
230,231.,Cool Hand Luke,1967,"Crime, Drama",127 min,A,8.1
231,232.,Persona,1966,"Drama, Thriller",85 min,,8.1
232,233.,The Sound of Music,1965,"Biography, Drama, Family",172 min,U,8.1
233,234.,La battaglia di Algeri,1966,"Drama, War",121 min,,8.1
234,235.,Les quatre cents coups,1959,"Crime, Drama",99 min,U,8.1
235,236.,Ben-Hur,1959,"Adventure, Drama, History",212 min,U,8.1
236,237.,Smultronstället,1957,"Drama, Romance",91 min,U,8.1
237,238.,Det sjunde inseglet,1957,"Drama, Fantasy",96 min,A,8.1
238,239.,On the Waterfront,1954,"Crime, Drama, Thriller",108 min,A,8.1
